Место	Страна	Игрок	Сумма	Без минусов	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
102	BLR	Антон Воронько	170		1	-1	-1	1	3	-1	2	0	2	5	-1	7	-1	-5	6
103	UKR	Александра Рябова	170		-3	1	-2	-2	6	0	4	2	3	2	0	1	4	4	-3
104	UKR	Ольга Шиншинова	160		-1	5	-1	0	-1	2	0	0	0	2	-1	3	2	5	1
105	RUS	Дмитрий Турчанинов	160		6	7	1	3	2	-6	-3	0	0	1	1	3	0	1	0
106	RUS	Сергей Дуликов	150		3	2	1	0	-5	-3	5	0	0	2	3	3	3	1	0
107	UKR	Александра Малыныч	150		0	3	0	1	6	0	-1	-1	6	2	0	-5	6	-2	0
108	BLR	Елизавета Лысенко	150		-1	2	-1	-4	3	3	2	-1	-3	5	2	3	4	0	1
109	BLR	Ксения Воробьёва	150		3	3	-1	0	2	-1	1	0	0	0	0	3	2	3	0
110	UKR	Никита Денисенков	140		3	1	-4	-5	-2	1	4	1	0	10	-2	1	1	4	1
111	BLR	Алина Данилова	140		-1	0	-2	-5	3	-3	1	0	1	0	4	1	6	6	3
112	AZE	Абдул Гулиев	140		3	0	1	0	-1	-1	-2	1	-1	4	1	1	4	1	3
113	RUS	Сергей Чудаев	130		1	3	1	-5	-1	-6	1	-2	0	6	4	1	10	-1	1
114	UKR	Анна Хромяк	130		1	3	1	1	2	-1	1	5	-5	-2	0	3	-2	4	2
115	UKR	Глеб Купянский	130		3	1	4		-1	-8	1		2		2	3	5	1	0
116	LAT	Александр Слободянюк	130		-1	-1		1	-2		1		3	-1	-3	11	2	1	2
117	RUS	Никита Корчагин	120		3	1		-5	-2	1	5		2	1		1	5	0	0
118	UKR	Елена Лукьянова	120		3	1	0	1	0	1	1	0	-2	-1	0	3	5	0	0
119	BLR	Галина Плахо́тная	120		0	5	1	1	3	-3	-1	0	0	0	-2	3	1	4	0
120	UKR	Евгений Островерх	110		3	2	1	-1	2	0	1	4	-4	0	0	3	-2	3	-1
121	BLR	Аким Малыщик	110		2	1	1	1	-2	2	1	0	-1	0	0	3	2	0	1
122	ARM	Айказ Мелкумян	110		1	-3	5	2	2	-2	0	0	0	5	0	1	0	0	0
123	BLR	Антон Шевченя	110		-5	1	-1	0	3	2	4	-1	5	-5	0	3	3	1	1
124	RUS	Юлия Лукьянова	110		2	3			-1			1		3	1	1	2	-1	0
125	BLR	Павел Чёрный	100		3	-1	-3	0	3	0	1	3	0	4	-5	-3	4	4	0
126	RUS	Дмитрий Рязанцев	100		1	3	1	0	-5	0	3	-5	-1	2	0	3	2	5	1
127	BLR	Виктория Сонько	100		1	1	-1	-4	0	1	4	-2	2	0	0	4	0	3	1
128	UKR	Ольга Княгницкая	100			1		5	-2							3	2	1	0
129	ARM	Рачья Гумроян	100		-1	1	4		5		1	-4	5	2	-2	-3		1	1
130	UKR	Александр Черновол	90		0	1	-1	1	0	-2	4	0	-1	-2	0	1	5	3	0
131	BLR	Альберт Агалян	90		0	3	1	1	-5	1	5	-3	2	1	0	-2	1	3	1
132	ARM	Карен Мнацаканян	90		3	1	15	3	0	-4	1	10	-7	-1	-4	-1	-5	-3	1
133	LAT	Дмитрий Стрижевский	80		-3	1	0	0	1	0	5	0	0	-2	-2	1	5	1	1
134	POL	Алёна Тимошевская	80		-1	3			-3		1			1		1		6	0
135	UKR	Дмитрий Черненко	70		1		-1		2	5	3	-2	2		-5	2	1		-1
136	RUS	Ангелина Барканова	60		-1	1		-4	-4	1	-3	9	-2	3		5	3	-2	0
137	RUS	Фёдор Шамонин	50		3	1	-1	1	3	-4	0	-4	-7	6	1	3	0	3	0
138	UKR	Никита Ткаченко	50		1	0	-1	-2	3	-2	1	1	2	0	0	1	0	1	0
