	Страна	Игрок	Сумма	Без минусов	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
136	UZB	Александр Бузылёв	40		1		-2	1	2	3		-1			-5			5	
137	RUS	Маргарита Лузина	30		0	-1	0	-1	0	1	0	1	-1	1	0	-5	6	1	1
138	UKR	Руслан Кальницкий	30			5		-2	1									-1	
139	LAT	Михаил Цвечковский	30		-1	-4	-4	1	3	7		-3		3	-1	3			-1
140	AZE	Даниил Михайлов	20		-1	-8	1	1	1	3	3	4	0	0	0	-3	0	2	-1
141	BLR	Егор Старовойтов	10		-1	1	3	5	1	3	-4		-6		1	-1	-2		1
142	AZE	Марина Калмыкова	0			5	0	1		1			-4		-1				-2
182	RUS	Дмитрий Мухачёв	-10		2	1	1	-1	1	3	-5	-2		-1		-1			1
183	UKR	Катерина Большакова	-10		2	1	-2	-2	1	2	0	0	-1	-2	0	-1	0	2	-1
184	RUS	Динара Аишева	-10		-1	-3	3	1	1	3	0	0	-3	0	-1	6	0	-2	-5
185	RUS	Анна Терещенко	-10		1	1	2	-4	2	2	-4	-1	-1	0	-5	4	3	2	-3
186	POL	Савелий Новиков	-10		-1	5	-1	0	0	0	0	0	0	0	0	-6	0	0	2
187	UZB	Бексултан Балтабаев	-20					1						-1		-2			
188	BLR	Антон Дюба	-20		-2	8	-1	1		1		-3			-1	1		-2	-4
189	BLR	Иван Мицкевич	-20		-7	-1	3	6	1	3	-3	-1	1	1	-5	1	0	1	-2
190	POL	Анатолий Шатило	-20		-2	-1	-3	1	0	2	0	2	0	-2	0	0	0	0	1
191	UZB	Мирджалол Каттаев	-20			2	-1	-6	1	1						-1		2	
192	UZB	Глеб Беккер	-30			-5	6	-1	1	4	-5	-1	1					-3	
193	UKR	Владислав Бобров	-30		0	1	0	1	-2	1	0	0	-1	-1	-2	1	0	0	-1
194	RUS	Николай Дорофеев	-30		3	10	1	1	-4	1	1	0	0	-1	-5	-6	4	-5	-3
195	UKR	Анна Елисеева	-30		-1	1	1	-1	-1	0	0	0	1	-4	-1	0	0	-1	3
196	BLR	Артём Батян	-30		0	1	1	-3	0	2	-1	-2	0	-6	1	1	0	3	0
197	RUS	Глеб Русских	-40		1	1		2	1	1			-3	-6		1		-2	
198	UKR	Глеб Дяченко	-60		1	1	1	-1	1	-2		-1	2	-4		-3	-3	1	1
199	RUS	Дарья Солодова	-70		1	-5	1	1				-3			1	1	-4	-3	3
200	UKR	Андрей Дудкин	-80		-4	1	-1	-3	1	-1	-5	2		2	-3	1		1	1
201	AZE	Масума Сулейманова	-80		-5	5	2	0	-3	0	-1	0	-6	0	-1	1	-3	5	-2
202	MDA	Влад Шеремет	-90		5	-8	-5	4	-1	2	-5	-1	3		-3	-1		1	
203	BLR	Владислав Дейкун	-90		2	-2		-3	1	-5		-3	-2		-1	2			2
204	AZE	Санан Наджафов	-90		-4	1	-2	-1	0	0	0	0	0	0	0	1	-3	-1	0
205	UKR	Татьяна Хадыева	-110		2	3	-1	-1	-4			-3	-2		-1	-5			1
206	UKR	Валерий Ярёменко	-110		-3	-1		-1	1	1	-3	-2		1		-3		1	-2
207	UKR	Юлиана Ильина	-210		-7	-3	1	1		-1	-4		2			-6		-3	-1
208	ARM	Роман Балаян	-230			2	-2	-3		6		-5		-4	-4	-8		1	-6
209	RUS	Ростислав Коряков	-240		6	-3	-7	-4		3	-1	-4	-1	-6	-5	3		-2	-3
210	MDA	Евгений Берёзкин	-250			-2		1	-2	-7	-3	1	-7	1		-1			-6
211	UZB	Фаррух Муратов	-260		0	-4	-5	0	-3	1	-3	-4	-1	0	0	-1	0	-3	-3
212	MDA	Адриан Ожог	-450		-4	-5	-5	-7	-4	2	-7	-2	-5		-1	2		-1	-8
213	MDA	Александрин Змеу	-640		-9	-7		-4	-9	-2	-5		-3	-3	-4	-8	-4	-3	-3
